Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
3,Tuesday,31-50,Male,Unknown,Unknown,Unknown,Auto,Owner,Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Monday,31-50,Male,Elementary school,Owner,Above 10yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
0,Wednesday,31-50,Male,High school,Owner,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
3,Wednesday,18-30,Male,High school,Owner,Above 10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Wednesday,Over 51,Male,Unknown,Unknown,Unknown,Public 1,Governmental,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Driving carelessly,Slight Injury
3,Monday,31-50,Male,Elementary school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
3,Monday,Unknown,Male,Elementary school,Owner,Above 10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Driving carelessly,Slight Injury
2,Monday,18-30,Male,High school,Owner,Below 1yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Changing lane,Slight Injury
2,Monday,31-50,Male,High school,Owner,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane,Slight Injury
3,Wednesday,31-50,Male,High school,Owner,5-10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Sunday,18-30,Male,High school,Owner,Unknown,Auto,Governmental,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Sunday,18-30,Male,Unknown,Owner,Below 1yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
0,Tuesday,18-30,Male,Elementary school,Owner,Above 10yr,Auto,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Unknown,Slight Injury
1,Friday,18-30,Male,Elementary school,Owner,Below 1yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Tuesday,18-30,Male,High school,Owner,5-10yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Tuesday,31-50,Male,High school,Owner,5-10yr,Auto,Organization,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
3,Monday,31-50,Male,Unknown,Owner,Unknown,Motorcycle,Owner,One way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Serious Injury
3,Monday,18-30,Male,High school,Employee,1-5 yr,Unknown,Owner,Two way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving to the left,Serious Injury
3,Monday,18-30,Male,High school,Owner,5-10yr,Auto,Organization,Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Overtaking,Slight Injury
3,Monday,18-30,Male,High school,Employee,5-10yr,Auto,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
1,Sunday,Under 18,Male,High school,Employee,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
1,Sunday,31-50,Male,High school,Employee,5-10yr,Public (> 45 seats),Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Unknown,Slight Injury
0,Friday,31-50,Male,High school,Employee,Above 10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Friday,31-50,Male,High school,Employee,5-10yr,Auto,Owner,Two way,Steep grade downward with mountainous terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury
3,Tuesday,31-50,Male,High school,Employee,No Licence,Auto,Owner,Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Changing lane,Slight Injury
3,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
0,Monday,18-30,Male,Elementary school,Employee,5-10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,T Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving to the left,Slight Injury
0,Monday,Unknown,Female,High school,Employee,5-10yr,Public 1,Owner,Two way,Tangent road with mountainous terrain and,T Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Tuesday,Unknown,Male,High school,Employee,5-10yr,Unknown,Unknown,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
3,Tuesday,Unknown,Female,High school,Employee,5-10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
0,Wednesday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury
0,Wednesday,18-30,Male,Writing & reading,Employee,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Rollover,2,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
0,Wednesday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Moving Backward,Not a Pedestrian,Unknown,Slight Injury
0,Wednesday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Wednesday,18-30,Male,Writing & reading,Employee,Below 1yr,Dry 2,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Friday,Unknown,Male,Elementary school,Employee,1-5 yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
1,Friday,31-50,Male,High school,Employee,5-10yr,Motorcycle,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
3,Monday,31-50,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Unknown,Not a Pedestrian,Driving carelessly,Slight Injury
3,Monday,18-30,Male,Elementary school,Owner,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
3,Sunday,Over 51,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
3,Sunday,31-50,Male,High school,Owner,Below 1yr,Unknown,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Wednesday,18-30,Male,Writing & reading,Employee,5-10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury
3,Wednesday,18-30,Male,High school,Employee,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Wednesday,31-50,Female,High school,Employee,1-5 yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Pedestrian,No distancing,Slight Injury
2,Monday,31-50,Male,High school,Employee,Above 10yr,Dry 2,Governmental,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Reversing,Not a Pedestrian,Unknown,Serious Injury
1,Tuesday,Unknown,Female,High school,Employee,5-10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Serious Injury
2,Saturday,31-50,Male,High school,Employee,Above 10yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Saturday,Unknown,Female,High school,Employee,1-5 yr,Dry 1,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
1,Tuesday,Unknown,Male,High school,Employee,Below 1yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury
1,Tuesday,Unknown,Female,High school,Employee,Below 1yr,Public 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
0,Friday,18-30,Male,High school,Owner,5-10yr,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
0,Friday,Unknown,Female,High school,Employee,1-5 yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury
0,Tuesday,18-30,Male,Elementary school,Employee,Below 1yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,5-10yr,Auto,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,Above 10yr,Public (> 45 seats),Governmental,Two-way (divided with broken lines road marking),Unknown,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Monday,Unknown,Female,High school,Employee,Above 10yr,Dry 1,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
0,Monday,31-50,Male,High school,Employee,5-10yr,Dry 2,Unknown,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Friday,31-50,Male,Elementary school,Employee,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
3,Thursday,31-50,Male,High school,Employee,5-10yr,Unknown,Owner,One way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
3,Thursday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Tuesday,31-50,Male,High school,Owner,5-10yr,Dry 1,Governmental,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
1,Tuesday,31-50,Male,High school,Owner,Above 10yr,Motorcycle,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Friday,Unknown,Male,Unknown,Owner,Below 1yr,Auto,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Serious Injury
2,Friday,18-30,Male,Writing & reading,Owner,5-10yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
3,Sunday,18-30,Male,High school,Employee,Above 10yr,Motorcycle,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,1,Going straight,Pedestrian,Turnover,Slight Injury
3,Sunday,18-30,Male,High school,Employee,Below 1yr,Auto,Owner,One way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury
3,Sunday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Unknown,Not a Pedestrian,No distancing,Slight Injury
0,Monday,18-30,Male,High school,Employee,Above 10yr,Public 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,1,Turnover,Not a Pedestrian,No distancing,Slight Injury
1,Thursday,31-50,Male,High school,Owner,Above 10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
1,Thursday,31-50,Male,High school,Employee,Above 10yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Unknown,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
3,Monday,18-30,Male,High school,Employee,No Licence,Auto,Governmental,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
3,Monday,Unknown,Female,High school,Employee,1-5 yr,Public 1,Governmental,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Friday,Unknown,Female,High school,Owner,Below 1yr,Dry 1,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Thursday,31-50,Male,High school,Owner,1-5 yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
2,Thursday,31-50,Male,High school,Owner,1-5 yr,Unknown,Organization,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overloading,Slight Injury
2,Thursday,31-50,Male,Unknown,Owner,5-10yr,Auto,Governmental,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Thursday,31-50,Male,Unknown,Owner,Above 10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No priority to vehicle,Slight Injury
2,Tuesday,18-30,Male,High school,Owner,1-5 yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Unknown,Not a Pedestrian,Changing lane,Slight Injury
1,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Dry 2,Unknown,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Reversing,Not a Pedestrian,Moving Backward,Slight Injury
1,Monday,18-30,Male,Writing & reading,Owner,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Changing lane,Slight Injury
2,Monday,18-30,Male,Unknown,Owner,Unknown,Public 1,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
2,Monday,18-30,Male,High school,Owner,5-10yr,Public 1,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,No distancing,Slight Injury
1,Tuesday,18-30,Male,High school,Owner,Below 1yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No priority to vehicle,Serious Injury
1,Tuesday,31-50,Male,High school,Owner,1-5 yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Unknown,Pedestrian,No distancing,Serious Injury
3,Thursday,31-50,Male,Elementary school,Employee,1-5 yr,Dry 1,Owner,Unknown,Steep grade downward with mountainous terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Wednesday,31-50,Male,High school,Employee,1-5 yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
1,Saturday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Owner,Unknown,Steep grade downward with mountainous terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,Unknown,Not a Pedestrian,Changing lane,Slight Injury
1,Saturday,Unknown,Female,High school,Employee,5-10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Rollover,3,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
1,Saturday,31-50,Male,High school,Employee,5-10yr,Dry 2,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Turnover,Not a Pedestrian,Moving Backward,Slight Injury
1,Sunday,31-50,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
1,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Overtaking,Slight Injury
3,Thursday,31-50,Male,High school,Employee,5-10yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overloading,Slight Injury
3,Thursday,31-50,Male,High school,Employee,Above 10yr,Dry 1,Owner,Unknown,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane,Slight Injury
2,Friday,31-50,Male,Elementary school,Owner,Unknown,Unknown,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Not a Pedestrian,Improper parking,Slight Injury
2,Friday,18-30,Male,High school,Owner,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Unknown,Slight Injury
2,Friday,Over 51,Male,High school,Employee,5-10yr,Unknown,Owner,Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Unknown,Changing lane,Slight Injury
1,Friday,31-50,Male,High school,Employee,Below 1yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Reversing,Not a Pedestrian,Changing lane,Slight Injury
0,Friday,31-50,Male,Unknown,Unknown,Unknown,Auto,Owner,Two way,Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury
0,Friday,31-50,Male,High school,Employee,5-10yr,Dry 2,Owner,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Driving at high speed,Slight Injury
2,Thursday,18-30,Male,High school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
2,Thursday,Unknown,Female,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,Steep grade downward with mountainous terrain,No junction,Asphalt,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury
2,Saturday,31-50,Male,High school,Employee,Above 10yr,Dry 1,Governmental,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
2,Saturday,18-30,Male,High school,Employee,Above 10yr,Dry 1,Owner,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,Above 10yr,Dry 1,Owner,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,Serious Injury
2,Wednesday,18-30,Male,High school,Employee,Above 10yr,Auto,Governmental,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Serious Injury
2,Saturday,31-50,Male,High school,Employee,Above 10yr,Auto,Unknown,Unknown,Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Serious Injury
1,Saturday,Unknown,Female,High school,Employee,5-10yr,Auto,Owner,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Rollover,1,Moving Backward,Not a Pedestrian,Unknown,Slight Injury
2,Wednesday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Governmental,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Pedestrian,Driving carelessly,Slight Injury
